Monthly Summary

Server Name: all
Group Name: all
Group Start Time: from earliest available to 12/4/08 4:54:15 PM
Status: all

Month,Total Duration,Total Group Runs,Successful,Failed,Interrupted,Success Ratio
November 2008,34633,82,82,0,0,100
December 2008,2956,12,12,0,0,100
