Save Set Output

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Group Start Time: from earliest available to 12/4/08 4:54:57 PM

Message
"* p570a:/dev/rxz_data10g_82 (pid 610858): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_82        level=full,     10 GB 00:06:57     16 files
"
"* p570a:/dev/rxz_data10g_80 (pid 684894): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_80        level=full,     10 GB 00:03:33     16 files
"
"* p570a:/dev/rxz_data10g_78 (pid 553892): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_78        level=full,     10 GB 00:09:47     16 files
"
"* p570a:/dev/rxz_data10g_76 (pid 667668): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_76        level=full,     10 GB 00:09:47     16 files
"
"* p570a:/dev/rxz_data10g_74 (pid 451126): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_74        level=full,     10 GB 00:09:02     16 files
"
"* p570a:/dev/rxz_data10g_72 (pid 688694): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_72        level=full,     10 GB 00:11:53     16 files
"
"* p570a:/dev/rxz_data10g_70 (pid 549774): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_70        level=full,     10 GB 00:09:04     16 files
"
"* p570a:/dev/rxz_data10g_68 (pid 386174): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_68        level=full,     10 GB 00:11:44     16 files
"
"* p570a:/dev/rxz_data10g_66 (pid 639348): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_66        level=full,     10 GB 00:04:52     16 files
"
"* p570a:/dev/rxz_data10g_64 (pid 619272): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_64        level=full,     10 GB 00:07:44     16 files
"
"  p570b: /home/gwjf/gwjf_part_bk    level=skip,      0 KB 00:00:00      0 files
"
"  jfa05: /home/fee/databk           level=full,     14 GB 00:06:50    653 files
"
"  jfa06: /home/fee/databk           level=full,   2460 MB 00:02:29    350 files
"
"* p570a:/dev/rxz_data10g_62 (pid 459868): Reverse DNS lookup failed for address 10.0.0.1
  p570a: /dev/rxz_data10g_62        level=full,     10 GB 00:06:38     16 files
"
