Server Summary

Server Name: all
Status: all
Group Start Time: from earliest available to 12/4/08 4:54:05 PM

Server Name,Total Duration,Total Group Runs,Successful,Failed,Interrupted,Success Ratio
P570B,37589,94,94,0,0,100
