Thu Dec  4 15:00:46 BEIST 2008

> Prog Name      Queue Name  Grp Name      ID RqDone Load Done Current Service
---------      ----------  --------      -- ------ --------- ---------------
SQLAGENT2      00017.01574 GROUP17     1574      0         0 (  IDLE )
SQLAGENT2      00017.01575 GROUP17     1575      0         0 (  IDLE )
SQLAGENT2      00017.01576 GROUP17     1576      0         0 (  IDLE )
SQLAGENT2      00017.01577 GROUP17     1577      0         0 (  IDLE )
SQLAGENT2      00017.01578 GROUP17     1578    150      7500 (  IDLE )
SQLAGENT2      00017.01579 GROUP17     1579   7521    376050 (  IDLE )
QUERY_BILL     00017.01600 GROUP17     1600      0         0 (  IDLE )
WSL            00011.01000 GROUP11     1000      0         0 (  IDLE )
QUERY_BILL     00017.01601 GROUP17     1601      0         0 (  IDLE )
WSL            00011.01001 GROUP11     1001      0         0 (  IDLE )
QUERY_BILL     00017.01602 GROUP17     1602      0         0 (  IDLE )
QUERY_BILL     00017.01610 GROUP17     1610      0         0 (  IDLE )
QUERY_BILL     00017.01611 GROUP17     1611      0         0 (  IDLE )
QUERY_BILL     00017.01612 GROUP17     1612      0         0 (  IDLE )
QUERY_BILL     00017.01620 GROUP17     1620      0         0 (  IDLE )
STAFF_AUTH     00011.01020 GROUP11     1020 333056  16652800 (  IDLE )
QUERY_BILL     00017.01621 GROUP17     1621      0         0 (  IDLE )
STAFF_AUTH     00011.01021 GROUP11     1021  15669    783450 (  IDLE )
QUERY_BILL     00017.01622 GROUP17     1622      0         0 (  IDLE )
STAFF_AUTH     00011.01022 GROUP11     1022 VERBOS 279617050 (  IDLE )
STAFF_AUTH     00011.01023 GROUP11     1023    791     39550 (  IDLE )
AC_CASH_BILL   00011.01040 GROUP11     1040    152      7600 (  IDLE )
AC_CASH_BILL   00011.01041 GROUP11     1041     15       750 (  IDLE )
AC_CASH_BILL   00011.01042 GROUP11     1042   4946    247300 (  IDLE )
AC_CASH_BILL   00011.01043 GROUP11     1043 208719  10435950 (  IDLE )
BILL_FORMAT    00011.01060 GROUP11     1060      0         0 (  IDLE )
BILL_FORMAT    00011.01061 GROUP11     1061      1        50 (  IDLE )
BILL_FORMAT    00011.01062 GROUP11     1062      0         0 (  IDLE )
BILL_FORMAT    00011.01063 GROUP11     1063      0         0 (  IDLE )
BILL_FORMAT    00011.01064 GROUP11     1064      0         0 (  IDLE )
BILL_FORMAT    00011.01080 GROUP11     1080  13838    691900 (  IDLE )
BILL_FORMAT    00011.01081 GROUP11     1081  84227   4211350 (  IDLE )
BILL_FORMAT    00011.01082 GROUP11     1082   1422     71100 (  IDLE )
BILL_FORMAT    00011.01083 GROUP11     1083     13       650 (  IDLE )
BILL_FORMAT    00011.01084 GROUP11     1084    120      6000 (  IDLE )
CASH_BILL      00012.01100 GROUP12     1100     40      2000 (  IDLE )
CASH_BILL      00012.01101 GROUP12     1101    101      5050 (  IDLE )
CASH_BILL      00012.01102 GROUP12     1102     22      1100 (  IDLE )
QUERY_REAL     00017.01710 GROUP17     1710     68      3400 (  IDLE )
QUERY_REAL     00017.01711 GROUP17     1711      4       200 (  IDLE )
QUERY_REAL     00017.01712 GROUP17     1712   2219    110950 (  IDLE )
QUERY_REAL     00017.01713 GROUP17     1713 207174  10358700 (  IDLE )
QUERY_REAL     00017.01714 GROUP17     1714  31563   1578150 (  IDLE )
QUERY_REALFEE  00017.01720 GROUP17     1720      2       100 (  IDLE )
CASH_BILL      00012.01120 GROUP12     1120    354     17700 (  IDLE )
QUERY_REALFEE  00017.01721 GROUP17     1721      0         0 (  IDLE )
CASH_BILL      00012.01121 GROUP12     1121   2164    108200 (  IDLE )
QUERY_REALFEE  00017.01722 GROUP17     1722    120      6000 (  IDLE )
CASH_BILL      00012.01122 GROUP12     1122  14161    708050 (  IDLE )
QUERY_REALFEE  00017.01723 GROUP17     1723 150233   7511650 (  IDLE )
QUERY_REALFEE  00017.01724 GROUP17     1724   5559    277950 (  IDLE )
CASH_BILL      00012.01130 GROUP12     1130 VERBOS  54043200 GET_VALID_ACCT
CHECK_PASS_97  00017.01730 GROUP17     1730      7       350 (  IDLE )
CASH_BILL      00012.01131 GROUP12     1131 335042  16752100 GET_OWE_ITEM
CHECK_PASS_97  00017.01731 GROUP17     1731      2       100 (  IDLE )
CASH_BILL      00012.01132 GROUP12     1132  78378   3918900 (  IDLE )
CHECK_PASS_97  00017.01732 GROUP17     1732     46      2300 (  IDLE )
CHECK_PASS_97  00017.01733 GROUP17     1733  38897   1944850 (  IDLE )
CHECK_PASS_97  00017.01734 GROUP17     1734     89      4450 CHECK_PASS_97WS
SPECIAL_BILL   00013.01150 GROUP13     1150     52      2600 (  IDLE )
SPECIAL_BILL   00013.01151 GROUP13     1151      0         0 (  IDLE )
TRUST_BILL     00013.01160 GROUP13     1160      0         0 (  IDLE )
TRUST_BILL     00013.01161 GROUP13     1161      0         0 (  IDLE )
PUBLIC_SERVICE 00013.01180 GROUP13     1180  70433   3521650 (  IDLE )
PUBLIC_SERVICE 00013.01181 GROUP13     1181 VERBOS 238745200 (  IDLE )

> Service Name Routine Name Prog Name  Grp Name  ID    Machine  # Done Status
------------ ------------ ---------  --------  --    -------  ------ ------
SQLAGENT     SQLAGENT     SQLAGENT   GROUP+  1200      bill1      81 AVAIL
SQLAGENT     SQLAGENT     SQLAGENT   GROUP+  1201      bill1    1143 AVAIL
TMS          TMS          TMS_ORA    GROUP+ 30001      bill1       0 AVAIL
