Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/arcbk/,12/7/07 5:02:24 PM,827919248, ,27,1607982780,32
/arcbk/,12/7/07 5:32:22 PM,811143820, ,27,1607983376,32
/arcbk/,12/7/07 7:31:35 PM,744042097, ,19,1072062396,31
/arcbk/,12/7/07 8:31:36 PM,710491261, ,17,1042174652,31
/arcbk/,12/7/07 10:02:16 PM,3310965188, ,28,1607983712,32
/arcbk/,12/7/07 11:01:31 PM,3277414320, ,19,1072063700,31
/arcbk/,12/8/07 12:32:18 AM,3227088126, ,27,1607976768,32
/arcbk/,12/8/07 1:05:24 AM,3193535688, ,68,3751663492,36
/arcbk/,12/8/07 1:45:59 AM,3159983700, ,174,10718609940,49
/arcbk/,12/8/07 2:15:00 AM,3109653826, ,164,10182686792,48
/arcbk/,12/8/07 2:32:24 AM,3092877553, ,37,1607985308,32
/arcbk/,12/8/07 3:31:34 AM,3042549567, ,19,1072065296,31
/arcbk/,12/8/07 7:01:24 AM,2925121632, ,18,1072065520,31
/arcbk/,12/8/07 9:31:38 AM,2841244553, ,18,1072065856,32
/arcbk/,12/8/07 10:02:24 AM,2824469180, ,26,1607986036,33
/arcbk/,12/8/07 10:31:36 AM,2807693712, ,19,1072065996,32
/arcbk/,12/8/07 11:01:37 AM,2790918289, ,18,1072063492,32
/arcbk/,12/8/07 11:31:38 AM,2774142873, ,19,1072066108,32
/arcbk/,12/8/07 12:31:31 PM,2740592030, ,18,1072066192,32
/arcbk/,12/8/07 2:31:31 PM,2673490347, ,19,1072064796,32
/arcbk/,12/8/07 3:31:38 PM,2639939519, ,18,1072066416,32
/arcbk/,12/8/07 5:01:38 PM,2589613261, ,21,1072066528,32
/arcbk/,12/8/07 9:48:35 PM,3998916710, ,12,729410168,33
/arcbk/,12/8/07 10:03:59 PM,3982140290, ,51,2679826184,35
/arcbk/,12/8/07 10:31:31 PM,3965364790, ,18,1072066976,32
/arcbk/,12/8/07 11:02:19 PM,3948589424, ,28,1607987156,33
/arcbk/,12/8/07 11:31:39 PM,3931813972, ,17,1072067116,32
/arcbk/,12/9/07 12:01:37 AM,3915038559, ,17,1072067172,32
